domain_id	specificity
AAM80536.1.A1|Q8KLL6.A1	3,5-dihydroxyphenylglycine
AAM80537.1.A1|Q8KLL5.A1	4-hydroxyphenylglycine
AAM80537.1.A2|Q8KLL5.A2	4-hydroxyphenylglycine
AAM80537.1.A3|Q8KLL5.A3	tyrosine
AAM80538.1.A1|Q8KLL4.A1	3,5-dihydroxyphenylglycine
AAM80539.1.A1|Q8KLL3.A1	4-hydroxyphenylglycine
AAM80539.1.A2|Q8KLL3.A2	tyrosine
AAN00653.1.A1|P59591.A1	alanine
AAN07012.1.A2	asparagine
AAN07013.1.A1	tyrosine
AAN07013.1.A2	asparagine
AAN07013.1.A3	proline
AAN07013.1.A4	glutamic acid
AAN07014.1.A1	serine
AAN07014.1.A2	threonine
AAN32978.1.A1|Q8GAQ6.A1	leucine|valine|(4S)-5,5,5-trichloroleucine
AAN32981.1.A1|Q8GAQ3.A1	phenylalanine
AAN32981.1.A2|Q8GAQ3.A2	cysteine
AAN42148.1.A1|P29698.A1	serine
AAN74813.2.A1	tricarballylic acid
AAN85522.1.A1|Q8GGP3.A1	cysteine
AAN85530.1.A1	D-alanine
AAO07759.1.A1	salicylic acid
AAO07763.1.A1	salicylic acid|2,3-dihydroxybenzoic acid
AAO23333.1.A1	tyrosine
AAO23333.1.A2	glycine
AAO23333.1.A3	glutamine
AAO23334.1.A1	isoleucine
AAO23334.1.A2	serine
AAO23334.1.A3	4S-methylproline
AAO23334.1.A4	leucine|phenylalanine
AAO55665.1.A1|Q884E5.A1	aspartic acid
AAO55665.1.A2|Q884E5.A2	threonine
AAO55666.1.A1|Q884E4.A1	threonine
AAO55666.1.A2|Q884E4.A2	serine
AAO55667.1.A1|Q884E3.A1	aspartic acid
AAO55667.1.A2|Q884E3.A2	serine
AAO56328.1.A1	leucine
AAO56328.1.A2	leucine
AAO56328.1.A3	glutamine
AAO56329.1.A1	leucine
AAO56329.1.A2	threonine
AAO56329.1.A3	valine
AAO56329.1.A4	leucine
AAO56329.1.A5	leucine
AAO62582.1.A1|Q7WRI6.A1	D-glutamic acid branched
AAO62585.1.A1	cinnamic acid
AAO62586.1.A1	serine
AAO62586.1.A2	alanine
AAO62587.1.A1	leucine|arginine
AAO62587.1.A2	3S-methyl-D-aspartic acid branched|D-aspartic acid branched
AAO62588.1.A1	arginine
AAO64403.1.A1	threonine
AAO64403.1.A2	3S-methyl-D-aspartic acid branched
AAO69874.1.A1|Q8Z8L1.A1	2,3-dihydroxybenzoic acid
AAO72424.1.A1|Q83VS1.A1	alanine
AAO72424.1.A2|Q83VS1.A2	valine
AAO72424.1.A3|Q83VS1.A3	valine
AAO72424.1.A4|Q83VS1.A4	threonine
AAO72424.1.A5|Q83VS1.A5	alanine
AAO72425.1.A10|Q83VS0.A10	2,4-diaminobutyric acid
AAO72425.1.A11|Q83VS0.A11	2,4-diaminobutyric acid
AAO72425.1.A12|Q83VS0.A12	tyrosine
AAO72425.1.A1|Q83VS0.A1	valine
AAO72425.1.A2|Q83VS0.A2	alanine
AAO72425.1.A3|Q83VS0.A3	alanine
AAO72425.1.A4|Q83VS0.A4	threonine
AAO72425.1.A5|Q83VS0.A5	threonine
AAO72425.1.A6|Q83VS0.A6	serine
AAO72425.1.A7|Q83VS0.A7	alanine
AAO72425.1.A8|Q83VS0.A8	threonine
AAO72425.1.A9|Q83VS0.A9	alanine
AAO92378.1.A1|P19828.1.A1	cysteine
AAP92491.1.A1	serine
AAP92491.1.A2	serine
AAP92505.1.A1	beta-lysine
AAQ82561.1.A1	para-aminobenzoic acid
AAQ93484.1.A1	allo-isoleucine
AAS47562.1.A1	arginine
AAS47564.1.A1	glycine
AAS92545.1.A1	tyrosine
AAS92545.1.A2	serine
AAS98786.1.A1	alanine
AAT01806.1.A1|CAB55600.1.A1|Q9RLP6.A1	phenylalanine
AAT01806.1.A2|CAB55600.1.A2|Q9RLP6.A2	threonine
AAT01807.1.A1|CAB55600.1.A3|Q9RLP6.A3	alanine
AAT01807.1.A2|CAB55600.1.A4|Q9RLP6.A4	alaninol
AAT09804.1.A1	4-hydroxyphenylglycine
AAT09804.1.A2	arginine
AAT09804.1.A3	4-hydroxyphenylglycine
AAT09805.1.A1	serine
AAT09805.1.A2	4-hydroxyphenylglycine
AAT12283.1.A1	valine
AAT12283.1.A2	tryptophan
AAT28740.1.A1	proline
AAT70101.1.A1|AEE88284.1.A1	cysteine
AAU22002.1.A1|AAU39359.1.A1	glutamine
AAU22002.1.A2|AAU39359.1.A2	leucine
AAU22002.1.A3|AAU39359.1.A3	leucine
AAU34202.1.A1|Q643C7.A1	serine
AAU34202.1.A2|Q643C7.A2	glycine
AAU34202.1.A3|Q643C7.A3	phenylalanine|S-beta-methylphenylalanine
AAU34203.1.A1	tyrosine
AAU34203.1.A2	S-beta-hydroxyenduracididine
AAU39360.1.A1	valine
AAU39360.1.A2	aspartic acid
AAU39360.1.A3	leucine
AAV66110.2.A1	tyrosine
AAV97877.1.A1	glycine
AAW03307.1.A1	phenylalanine
AAW03326.1.A1	cysteine
AAX16296.1.A1	lysine
AAX16296.1.A2|AAX16297.1.A4	N5-formyl-N5-hydroxyornithine
AAX16297.1.A1	serine
AAX16297.1.A2	arginine
AAX16297.1.A3	serine
AAX16325.1.A1	glutamine
AAX16325.1.A2	N5-formyl-N5-hydroxyornithine
AAX16325.1.A3	glycine
AAX16327.1.A1	serine
AAX16327.1.A2	2,4-diaminobutyric acid
AAX16327.1.A3	N5-formyl-N5-hydroxyornithine
AAX31557.1.A1|Q50E74.A1	tryptophan
AAX31557.1.A2|Q50E74.A2	asparagine
AAX31557.1.A3|Q50E74.A3	aspartic acid
AAX31557.1.A4|Q50E74.A4	threonine
AAX31557.1.A5|Q50E74.A5	glycine
AAX31558.1.A1	ornithine
AAX31558.1.A2	aspartic acid
AAX31558.1.A3	alanine
AAX31558.1.A4	aspartic acid
AAX31558.1.A5	glycine
AAX31558.1.A6	serine
AAX31559.1.A1	3R-methylglutamic acid
AAX31559.1.A2	kynurenine
AAY29578.1.A1	4R-E-butenyl-4R-methylthreonine
AAY29580.1.A1	isoleucine
AAY29580.1.A2	valine
AAY29580.1.A3	valine
AAY29580.1.A4	lysine
AAY37647.1.A1	serine
AAY37647.1.A2	serine
AAY37647.1.A3	2,4-diaminobutyric acid
AAY37647.1.A4	2,4-diaminobutyric acid
AAY37647.1.A5	arginine
AAY37647.1.A6	phenylalanine
AAY37647.1.A7	threonine
AAY37647.1.A8	aspartic acid
AAY37650.1.A1|Q52400.A1	threonine
AAY42397.1.A1|Q1EDB1.A1|AAY42398.1.A2	2-ketoisovaleric acid
AAY42397.1.A2|Q1EDB1.A2	cysteine
AAY42398.1.A3	cysteine
AAY89051.1.A1|Q2N3S9.A1	serine
AAY91419.3.A1	leucine
AAY91419.3.A2	glutamic acid
AAY91420.2.A1	threonine
AAY91420.2.A2	isoleucine
AAY91420.2.A3	leucine
AAY91420.2.A4	serine
AAY91421.3.A1	leucine
AAY91421.3.A2	leucine
AAY91421.3.A3	serine
AAY91421.3.A4	valine
AAY93354.1.A1	alanine
AAY93354.1.A2	N5-formyl-N5-hydroxyornithine
AAY93354.1.A3	lysine
AAY93355.1.A1	threonine
AAY93355.1.A2	alanine
AAY93356.2.A1	aspartic acid
AAY93356.2.A2	N5-formyl-N5-hydroxyornithine
AAY93356.2.A3	lysine
AAY93445.1.A2	glutamic acid
AAY93445.1.A3	tyrosine
AAY93445.1.A4	2,4-diaminobutyric acid
AAZ03550.1.A1	glutamine
AAZ03551.1.A1	threonine
AAZ03552.1.A2	3-amino-6-hydroxy-2-piperidone
AAZ03552.1.A3	phenylalanine
AAZ03552.1.A4	tyrosine|3-chlorotyrosine
AAZ23075.1.A1|Q45R85.A1	tryptophan
AAZ23075.1.A2|Q45R85.A2	glutamic acid
AAZ23075.1.A3|Q45R85.A3	3-hydroxyasparagine|asparagine
AAZ23075.1.A4|Q45R85.A4	threonine
AAZ23075.1.A5|Q45R85.A5	glycine
AAZ23076.1.A1	alanine
AAZ23076.1.A2	aspartic acid
AAZ23077.1.A1	lysine
AAZ23077.1.A2	3-methoxyaspartic acid|3-hydroxyaspartic acid|aspartic acid
AAZ23077.1.A3	glycine
AAZ23077.1.A4	asparagine
AAZ23078.1.A1	3R-methylglutamic acid|glutamic acid
AAZ23078.1.A2	isoleucine|valine
AAZ55898.1.A1	N5-hydroxyornithine
AAZ55899.1.A1	serine
AAZ55900.1.A1	arginine
AAZ55900.1.A2	glycine
AAZ55900.1.A3	glycine
AAZ55904.1.A1	2,3-dihydroxybenzoic acid
ABA23460.1.A1	serine
ABA59547.1.A1|Q1PSF4.A1	2R-hydroxyisovaleric acid
ABA59547.1.A2|Q1PSF4.A2	valine
ABA59548.1.A1	pyruvic acid
ABA59548.1.A2	valine
ABA73954.1.A1	leucine
ABA73954.1.A2	aspartic acid
ABA73955.1.A1	glutamine
ABA73955.1.A2	isoleucine
ABA73955.1.A3	leucine
ABA73955.1.A4	glutamine
ABA73955.1.A5	serine
ABA73956.1.A1	leucine
ABA73956.1.A2	leucine
ABA73956.1.A3	serine
ABA73956.1.A4	isoleucine
ABB80392.1.A1	alanine
ABB80392.1.A2	alanine
ABB80392.1.A3	arginine
ABC35522.1.A1	D-alanine
ABC36203.1.A1	dimethylsulfoniopropionic acid
ABC36785.1.A1	methionine
ABC36785.1.A2	cysteine
ABC36785.1.A3	isoleucine
ABC39418.1.A2	cysteine
ABD14711.1.A1	2-ketoisocaproic acid
ABD14711.1.A2	alanine
ABD14712.1.A1	2-ketoisovaleric acid
ABD14712.1.A2	valine
ABD65956.1.A1|Q06YZ3.A1	aspartic acid
ABD65956.1.A2|Q06YZ3.A2	threonine
ABD65957.1.A1	4-hydroxyphenylglycine
ABD65957.1.A2	ornithine
ABD65957.1.A3	threonine
ABD65957.1.A4	4-hydroxyphenylglycine
ABD65957.1.A5	4-hydroxyphenylglycine
ABD65957.1.A6	citrulline
ABD65958.1.A1	enduracididine
ABD65958.1.A2	4-hydroxyphenylglycine
ABD65958.1.A3	serine
ABD65958.1.A4	4-hydroxyphenylglycine|3,5-dichloro-4-hydroxyphenylglycine
ABD65958.1.A5	glycine
ABD65958.1.A6	enduracididine
ABD65958.1.A7	alanine
ABD65958.1.A8	4-hydroxyphenylglycine
ABD65960.1.A1	allo-threonine
ABF87031.1.A10|YP_631961.1.A10	alanine
ABF87031.1.A2|YP_631961.1.A2	serine
ABF87031.1.A3|YP_631961.1.A3	leucine
ABF87031.1.A4|YP_631961.1.A4	3-hydroxyvaline
ABF87031.1.A5|YP_631961.1.A5	serine
ABF87031.1.A6|YP_631961.1.A6	valine
ABF87031.1.A7|YP_631961.1.A7	serine
ABF87031.1.A8|YP_631961.1.A8	tyrosine
ABF87031.1.A9|YP_631961.1.A9	beta-lysine
ABG94125.1.A1|YP_702283.1.A1	threonine
ABG94125.1.A2|YP_702283.1.A2	N5-formyl-N5-hydroxyornithine
ABH06368.2.A1	threonine
ABH06368.2.A2	isoleucine
ABH06368.2.A3	leucine
ABH06368.2.A4	serine
ABH06369.2.A1	leucine
ABH06369.2.A2	serine
ABH06369.2.A3	isoleucine
ABI22131.1.A2	alanine
ABI22132.1.A1	glycine
ABI22133.1.A1	3-hydroxy-O-methyl-5-methyltyrosine
ABI26077.1.A1	homotyrosine
ABI26077.1.A2	threonine
ABI26078.1.A1	homotyrosine
ABI26078.1.A2	3-amino-6-hydroxy-2-piperidone
ABI26078.1.A3	isoleucine
ABI26078.1.A4	phenylalanine
ABI26079.1.A1	isoleucine
ABL74936.1.A1	asparagine
ABL74936.1.A2	histidine
ABL74937.1.A1	alanine
ABL74939.1.A1	threonine
ABL74940.1.A2	serine
ABL74940.1.A3	asparagine
ABL74945.1.A1	beta-alanine
ABL74945.1.A2	cysteine
ABM21571.1.A1	tyrosine
ABM21572.1.A1	3R-methylbeta-alanine
ABM21572.1.A2	2-ketoisocaproic acid
ABM91454.1.A1|QPG95283.1.A1	D-lysergic acid
ABP55169.1.A1	4-hydroxyphenylglycine
ABP57745.1.A2	cysteine
ABP57748.1.A1	valine
ABP57748.1.A2	cysteine
ABP57749.1.A1	threonine
ABP73646.1.A1	3S-cyclohex-2-enylalanine
ABQ96384.2.A1	threonine
ABQ96384.2.A2	valine|isoleucine
ABQ96384.2.A3	valine|isoleucine
ABQ96384.2.A4	threonine
ABQ96384.2.A5	asparagine|glutamine
ABQ96384.2.A6	D-alanine
ABR12615.1.A2	cysteine
ABR12615.1.A3	valine
ABR67744.1.A1	serine
ABR67744.1.A2	2,3-diaminopropionic acid
ABR67750.1.A1	capreomycidine
ABR67758.1.A1	beta-lysine
ABS50184.1.A1	threonine
ABS74179.1.A1|CAE11248.1.A1	serine
ABS74179.1.A2|CAE11248.1.A2	threonine
ABS74180.1.A1|CAE11249.1.A1	tyrosine
ABS74180.1.A2|CAE11249.1.A2	asparagine
ABS74180.1.A3|CAE11249.1.A3	proline
ABS74180.1.A4|CAE11249.1.A4	glutamic acid
ABS74181.1.A2|CAE11250.1.A2	asparagine
ABS74205.1.A1	isoleucine
ABS74206.1.A1	proline
ABS74206.1.A2	glutamine
ABS74206.1.A3	tyrosine
ABS74207.1.A1	glutamic acid
ABS74207.1.A2	alanine|valine
ABS74208.1.A1	tyrosine
ABS74208.1.A2	threonine
ABS74209.1.A1|CAE11277.1.A1	glutamic acid
ABS74209.1.A2|CAE11277.1.A2	ornithine
ABS75232.1.A1	glycine
ABS75232.1.A2	threonine
ABS75234.1.A1	2,3-dihydroxybenzoic acid
ABU70375.1.A1	2,3-dihydroxybenzoic acid
ABU70377.1.A1	serine
ABV56582.1.A1	leucine|isoleucine|allo-isoleucine|valine
ABV56585.1.A1	2-(1-methylcyclopropyl)-D-glycine
ABV56587.1.A1	2-ketoisovaleric acid
ABV56588.1.A1	piperazic acid
ABV56588.1.A2	serine
ABV56588.1.A3	6,7-dichlorotryptophan
ABV56594.1.A1	glutamic acid
ABV79985.1.A1	arginine
ABV79985.1.A2	lysine
ABV79986.1.A1	valine
ABV79987.1.A1	homotyrosine
ABV79987.1.A2	homotyrosine
ABV79988.1.A1	isoleucine
ABW00331.1.A2	leucine
ABW00331.1.A3	alanine
ABW00331.1.A5	valine
ABW00331.1.A6	leucine
ABW00331.1.A7	2-amino-3,5-dimethyl-4-hexenoic Acid
ABW17375.1.A1	leucine
ABW17375.1.A2	glutamic acid
ABW17376.1.A1	leucine
ABW17376.1.A2	isoleucine
ABW17376.1.A3	glutamine
ABW17376.1.A4	serine
ABW17376.1.A5	valine
ABW17376.1.A6	isoleucine
ABW17376.1.A7	serine
ABW17377.1.A1	leucine
ABW17377.1.A2	leucine|isoleucine|valine
ABW17377.1.A3	serine
ABX37382.1.A1	threonine
ABX37382.1.A2	N5-formyl-N5-hydroxyornithine
ABX37382.1.A3	serine
ABX37382.1.A4	arginine
ABX37382.1.A5	N5-hydroxyornithine
ABX37383.1.A1	aspartic acid
ABX37383.1.A2	threonine
ABX37383.1.A3	glycine
ABX37385.1.A2	serine
ABX60161.1.A1	guanidinoacetic acid
ACA97576.1.A1	leucine
ACA97576.1.A2	threonine
ACA97576.1.A3	2,4-diaminobutyric acid
ACA97576.1.A4	2,4-diaminobutyric acid
ACA97577.1.A1	threonine
ACA97580.1.A1|B9TTF7.A1	2,4-diaminobutyric acid
ACA97580.1.A2	threonine
ACA97580.1.A3|B9TTF7.A3	2,4-diaminobutyric acid
ACA97580.1.A4|B9TTF7.A4	2,4-diaminobutyric acid
ACA97580.1.A5|B9TTF7.A5	2,4-diaminobutyric acid
ACB12556.1.A1	tricarballylic acid
ACC81021.1.A1	phenylalanine
ACC81021.1.A2	lysine
ACC81022.1.A1	isoleucine
ACC81023.1.A1	homotyrosine|homophenylalanine
ACC81023.1.A2	glycine
ACC81024.1.A1	homotyrosine|homophenylalanine
ACG60771.1.A1	beta-alanine
ACG60772.1.A1	beta-alanine
ACG60772.1.A2	cysteine
ACG60773.1.A1	homoserine
ACG60776.1.A2|B9UJ01.A1	serine
ACG60776.1.A3|B9UJ01.A2	asparagine
ACG60778.1.A1	valine
ACG60782.1.A1	asparagine
ACG60782.1.A2	histidine
ACH90386.1.A1	4-hydroxyphenylpyruvic acid
ACI30655.1.A1	2R-hydroxyisovaleric acid
ACI30655.1.A2	phenylalanine
ACJ04424.1.A1|B6SF67.A1	2R-hydroxy-3-methylpentanoic acid
ACJ04424.1.A2|ACJ04424.1.A7|ACJ04424.1.A9|B6SF67.A2|B6SF67.A7|B6SF67.A9	valine
ACJ04424.1.A3|ACJ04424.1.A4|B6SF67.A3|B6SF67.A4	phenylalanine
ACJ04424.1.A5|B6SF67.A5	proline
ACJ04424.1.A6|B6SF67.A6	allo-isoleucine
ACJ04424.1.A8|B6SF67.A8	leucine
ACM68684.1.A1	isoleucine
ACM68690.1.A1	2-carboxy-6-hydroxyoctahydroindole
ACN69986.1.A1	proline
ACO31297.1.A1	3-amino-2,4-dihydroxybenzoic acid
ACR33075.1.A1	proline
ACR78148.1.A1|D1FVF0.A1	2R-hydroxyisovaleric acid
ACR78148.1.A2|D1FVF0.A2	leucine
ACS68554.1.A1	homoserine
ACU36654.1.A1	arginine
ACU36654.1.A2	N5-formyl-N5-hydroxyornithine
ACU36660.1.A1	2,3-dihydroxybenzoic acid
ACY06285.1.A1	valine
ACY06285.1.A2	meta-tyrosine
ACY06285.1.A3	piperazic acid
ACZ55942.1.A1	tyrosine
ACZ55942.1.A2	lysine
ACZ55943.1.A1	valine
ACZ55944.1.A1	homotyrosine
ACZ55944.1.A2	alanine
ACZ55945.1.A1	arginine|lysine
ACZ55945.1.A2	lysine
ACZ55946.1.A1	phenylalanine
ACZ66258.1.A1|D2IKP5.A1	pipecolic acid
ACZ66258.1.A2|D2IKP5.A2	isoleucine
ACZ66258.1.A3|D2IKP5.A3	N1-methoxytryptophan
ACZ66258.1.A4|D2IKP5.A4	2S-amino-8-oxodecanoic acid
ADA69239.2.A1	glycine
ADA69239.2.A2	proline
ADA82585.1.A1	glycine
ADB02855.1.A1	aspartic acid
ADB02873.1.A1	cysteine
ADC79642.1.A1|D3Y1I8.A1	glycine
ADD82940.1.A1|D4NZD4.A1	glycine
ADG27358.1.A1|O68487.A1|WP_057667184.1.A1	threonine
ADG27358.1.A2|O68487.A2|WP_057667184.1.A2	valine
ADG27359.1.A1|Q9L8H4.A1	proline
ADG27359.1.A2|Q9L8H4.A2	glycine
ADG27359.1.A3	valine
ADH01485.1.A1|AIC32693.1.A1	threonine
ADH04641.1.A1	cysteine
